EGM2008,EGM96,num,dif08,dif96
39.74,39.918,58,-0.31465,-0.492835
40.724,40.972,59,-0.36053,-0.608517
41.208,41.76,60,-0.30029,-0.851548
36.804,36.919,61,-0.33194,-0.446739
37.732,38.313,62,-0.33508,-0.915845
37.263,37.746,63,-0.30954,-0.793262
38.12,38.616,64,-0.31526,-0.811362
38.509,38.876,65,-0.30923,-0.675897
39.9,40.33,66,-0.28145,-0.711462
34.402,34.919,67,-0.34679,-0.863572
35.231,35.64,68,-0.34215,-0.7512
36.223,36.487,69,-0.33783,-0.601508
35.075,35.684,70,-0.32073,-0.930363
36.383,36.773,71,-0.33148,-0.720628
35.642,35.968,72,-0.31444,-0.640143
37.129,37.489,73,-0.28862,-0.648536
36.517,36.822,74,-0.2975,-0.603139
35.866,36.141,75,-0.31484,-0.590012
31.576,32.206,76,-0.30889,-0.938637
34.326,34.85,77,-0.31974,-0.843565
33.488,33.812,78,-0.32546,-0.649081
34.561,35.177,79,-0.30412,-0.920355
33.381,33.863,80,-0.30478,-0.787166
34.232,34.662,81,-0.32127,-0.750648
35.183,35.492,82,-0.28588,-0.594821
30.319,30.847,83,-0.31118,-0.838862
30.035,30.594,84,-0.32302,-0.882124
31.98,32.525,85,-0.31667,-0.862421
30.572,31.196,86,-0.3172,-0.941075
31.642,32.16,87,-0.32571,-0.843803
40.458,40.678,88,-0.40404,-0.623694
41.27,41.492,89,-0.38878,-0.611242
40.202,40.41,90,-0.40147,-0.609223
40.842,40.952,91,-0.38471,-0.494954
40.277,40.34,92,-0.37778,-0.440747
41.154,41.093,93,-0.37426,-0.313054
40.822,40.805,94,-0.42826,-0.410842
41.418,41.642,95,-0.37977,-0.604472
41.683,41.927,96,-0.40268,-0.647069
42.35,42.7,97,-0.38251,-0.733364
42.42,42.837,98,-0.36379,-0.780565
42.679,43.14,99,-0.3507,-0.812066
39.59,39.641,100,-0.38045,-0.431055
38.815,38.978,101,-0.39153,-0.554723
40.001,40.149,102,-0.41206,-0.55962
40.199,40.352,103,-0.37212,-0.524544
41.025,41.167,104,-0.36478,-0.506965
41.5,41.652,105,-0.38982,-0.542408
41.919,42.332,106,-0.34745,-0.759932
37.782,38.058,107,-0.39888,-0.6748
36.567,36.687,108,-0.39248,-0.512083
37.72,37.901,109,-0.39919,-0.580298
38.977,39.197,110,-0.38109,-0.601206
38.408,38.538,111,-0.37879,-0.5088
37.624,37.695,112,-0.37988,-0.450723
39.508,39.548,113,-0.37286,-0.412588
39.106,39.153,114,-0.38457,-0.431836
40.338,40.472,115,-0.37035,-0.504009
39.909,40.019,116,-0.36349,-0.472628
39.697,39.896,117,-0.36849,-0.566513
34.969,35.136,118,-0.40543,-0.572036
36.07,36.207,119,-0.40883,-0.54619
38.05,38.081,120,-0.39474,-0.425613
36.886,36.991,121,-0.38482,-0.48978
38.47,38.579,122,-0.37815,-0.487084
